Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
1,1,13913,625,2336,373,1574,3715
2,1,9761,2981,8734,902,2484,333
1,3,39041,6339,887,576,188,319
1,3,5025,8467,662,1255,1785,210
1,2,31367,819,376,8682,41498,578
2,3,6802,7605,2837,1149,129,482
1,2,4943,3149,2146,1149,1228,288
1,2,11046,1663,11710,1772,7221,5382
1,2,13939,2103,2407,1111,2105,1446
2,2,66938,8971,6638,1667,3759,1301
1,2,13623,5292,12023,3460,37,3752
1,1,12007,4231,2310,5227,3285,1130
1,3,48832,5133,6821,6026,427,457
1,2,18052,10179,14796,21337,2132,194
2,3,5196,3651,1258,3580,1281,435
1,3,38406,4248,5050,26406,40843,3480
2,2,4723,12558,2321,712,3041,290
2,1,5170,2888,1350,22237,1131,1233
2,2,4236,7466,906,1145,139,2276
1,1,3880,2431,1326,1288,1606,1160
2,3,13810,2654,5250,1565,4604,1285
1,1,7647,3626,835,1390,1186,1619
2,1,305,6736,2681,2004,627,1263
2,1,7568,13282,12022,901,567,3820
2,3,5896,4431,8053,4894,2989,352
2,3,24168,897,2741,931,4184,1114
2,1,5634,7566,31528,3970,10319,174
2,1,125399,46809,39432,11308,301,138
2,2,40006,4485,5058,1177,2948,834
2,1,6701,728,325,4690,1115,1464
1,2,31245,4767,13031,3536,1166,3895
1,1,16734,4011,394,26996,2447,7925
2,2,12499,3688,24928,986,2468,2945
2,3,22084,10356,16186,4694,2960,1727
2,1,10447,15966,34600,256,274,1036
1,1,12586,7971,6543,997,434,226
2,1,22546,3522,3302,2762,12441,787
1,1,77068,12402,2995,9621,962,2867
1,2,12723,903,2694,415,2119,2015
1,1,6286,1966,14460,4643,6515,282
1,3,1300,2198,10759,1675,2684,1560
1,3,70354,3901,5609,291,3040,1444
2,1,7606,6679,2220,2248,5124,1230
2,3,16895,3292,88621,14058,55,875
2,1,66563,1626,13408,471,642,1634
2,1,12426,10666,847,1584,2705,1681
2,3,8146,3179,2785,553,10737,504
1,1,40932,4456,13697,1030,1479,1352
2,3,15689,6981,2039,10082,377,757
2,2,17784,4183,7235,1305,392,235
1,1,2157,4201,13986,9719,5043,541
2,2,33054,11276,118,6842,966,219
1,3,14408,4681,4364,1169,1325,2169
2,2,2510,9535,4556,989,3369,1236
1,2,16076,6937,3123,616,17,652
2,3,1258,30238,6849,591,26918,3224
2,2,102947,6059,10130,2762,447,954
1,2,3288,7615,5745,1765,1925,247
1,3,49602,12108,3257,855,103,604
1,2,4389,4288,9856,281,710,3903
1,3,17330,2126,5187,2053,8664,491
1,2,3975,2504,3813,1029,75,1150
1,3,26825,2528,1160,1430,7253,1753
1,3,7821,1555,881,2606,888,1526
